num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
82574864000181,CEREJ,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR - CEREJ,cooperativa de prestacao de servicos publicos de distribuicao de energia eletrica senador esteves junior - cerej,,,,
31465487000101,CERES,COOPERATIVA DE ELETRIFICACAO RURAL DE RESENDE LTDA,cooperativa de eletrificacao rural de resende ltda,,,,
31465487000101,CERES,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA,cooperativa de eletrificacao rural de resende ltda,,,,
97505838000179,CERFOX,CERFOX - COOPERATIVA DE DISTRIBUICAO DE ENERGIA FONTOURA XAVIER,cerfox - cooperativa de distribuicao de energia fontoura xavier,,,,
97505838000179,CERFOX,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,cooperativa de distribuicao de energia fontoura xavier,,,,
86439510000185,CERGAL,COOPERATIVA DE ELETRIFICACAO ANITA GARIBALDI,cooperativa de eletrificacao anita garibaldi,,,,
86439510000185,CERGAL,COOPERATIVA DE ELETRIFICAÇÃO ANITA GARIBALDI,cooperativa de eletrificacao anita garibaldi,,,,
01229747000189,CERGAPA,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ,cooperativa de eletricidade grao para,,,,
86449170000173,CERGRAL,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,cooperativa de eletricidade de gravatal,,,,
87656989000174,CERILUZ,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,cooperativa regional de energia e desenvolvimento ijui ltda,,,,
50235449000107,CERIM,COOPERATIVA DE ELETRIFICAO E DESENVOLVIMENTO DA REGIAO DE ITU MAIRINQUE,cooperativa de eletrificao e desenvolvimento da regiao de itu mairinque,,,,
